FM_PORT_CD,TO_PORT_CD,DSTN,ECA_DSTN
KRKAN,CAVAN,4570,458
KRKAN,CNDLC,514,0
KRKAN,CNSHA,389,0
KRKAN,CNSHG,393,0
KRKAN,CNTAO,435,0
KRKAN,CNTXG,658,0
KRKAN,HKHKG,1089,0
KRKAN,KRINC,335,0
KRKAN,KRPUS,78,0
KRKAN,TWKHH,873,0
KRPUS,CAPRR,4130,322
KRPUS,CAVAN,4571,457
KRPUS,CNDLC,543,0
KRPUS,CNLYG,505,0
KRPUS,CNNBO,497,0
KRPUS,CNNGB,497,0
KRPUS,CNSHA,447,0
KRPUS,CNSHG,440,0
KRPUS,CNSHK,1153,0
KRPUS,CNTAO,488,0
KRPUS,CNTXG,688,0
KRPUS,CNXMN,885,0
KRPUS,CNYTN,1135,0
KRPUS,CNZOS,481,0
KRPUS,COCNR,14334,0
KRPUS,EGSCA,7596,0
KRPUS,HKHKG,1136,0
KRPUS,JOAQJ,7370,0
KRPUS,JPNGO,554,0
KRPUS,JPTYO,840,0
KRPUS,JPUKB,327,0
KRPUS,KRINC,384,0
KRPUS,KRKAN,78,0
KRPUS,MXLZC,6512,0
KRPUS,MXZLO,6376,0
KRPUS,PAMIT,8120,0
KRPUS,PAPCA,8190,0
KRPUS,PAPCN,8190,0
KRPUS,PAROD,6376,0
KRPUS,SGSIN,2471,0
KRPUS,THLCH,2571,0
KRPUS,TWKHH,912,0
KRPUS,USHOU,15443,242
KRPUS,USLAX,5302,373
KRPUS,USLGB,5302,373
KRPUS,USNYC,4737,380
KRPUS,USOAK,4927,306
KRPUS,USSAV,14808,206
KRPUS,USSEA,4554,457
KRPUS,USTIW,4575,457
LKCMB,AEJEA,2049,0
LKCMB,CAHAL,10834,282
LKCMB,EGSCA,3506,0
LKCMB,EGSUZ,3506,0
LKCMB,ESALG,9439,0
LKCMB,GBLGP,10465,342
LKCMB,MYPKG,1391,0
LKCMB,SGSIN,1584,0
LKCMB,USNYC,11124,207
MAPTM,EGDAM,1907,0
MAPTM,EGSCA,1987,0
MAPTM,EGSUZ,1987,0
MAPTM,ESVLC,412,0
MAPTM,GBSOU,1144,190
MAPTM,ITGOA,870,0
MATNG,CNTXG,13278,0
MATNG,EGDAM,1907,0
MATNG,EGSCA,1987,0
MATNG,EGSUZ,1987,0
MATNG,ESBCN,539,0
MATNG,ESVLC,412,0
MATNG,GBLGP,1296,313
MATNG,GBSOU,1144,190
MATNG,ITGOA,870,0
MATNG,ITLIV,887,0
MATNG,KRPUS,13172,0
MATNG,NLRTM,1374,397
MATNG,SGSIN,10705,0
MNTNG,EGDAM,1907,0
MNTNG,EGSCA,1987,0
MNTNG,EGSUZ,1987,0
MNTNG,ESVLC,412,0
MNTNG,GBSOU,1144,190
MNTNG,ITGOA,870,0
MXATM,FRLEH,4924,211
MXATM,GBLGP,5067,661
MXATM,GBSOU,4940,661
MXATM,MXVER,230,0
MXATM,USHOU,477,242
MXATM,USMSY,584,229
MXLZC,PAPCA,1593,0
MXTUX,MXATM,105,0
MXTUX,MXVER,137,0
MXVER,MXATM,230,0
MXVER,MXTUX,143,0
MXVER,USHOU,645,242
MXZLO,KRPUS,6387,0
MXZLO,PAPCA,1756,27
MXZLO,TWKHH,7234,0
MYPKG,AEJEA,3316,0
MYPKG,CNNGB,2280,0
MYPKG,CNSHA,2380,0
MYPKG,CNSHG,2380,0
MYPKG,HKHKG,1620,0
MYPKG,INNSA,2259,0
MYPKG,INPAV,2369,0
MYPKG,KRPUS,2713,0
MYPKG,LKCMB,1550,0
MYPKG,SAJED,4204,0
MYPKG,SGSIN,184,0
MYPKG,TWKHH,1808,0
NLRTM,BEANR,64,64
NLRTM,BEZEE,50,50
NLRTM,DEBRV,227,227
NLRTM,DEHAM,230,230
NLRTM,DEWVN,185,185
NLRTM,EGSCA,3352,420
NLRTM,EGSUZ,3352,420
NLRTM,ESALG,1652,420
NLRTM,ESFRO,790,415
NLRTM,FRBES,497,420
NLRTM,FRDKK,96,96
NLRTM,FRLEH,225,225
NLRTM,GBFXT,121,121
NLRTM,GBLGP,111,111
NLRTM,GBSOU,204,204
NLRTM,MAPTM,1374,397
NLRTM,MATNG,1374,397
NLRTM,PLGDN,981,0
NLRTM,SGSIN,11855,406
NLRTM,USNYC,3375,878
OMSOH,MYPKG,3184,0
OMSOH,SGSIN,3280,0
PABLB,CNNBO,8622,0
PABLB,CNNGB,8622,0
PABLB,JPTYO,7714,0
PABLB,KRPUS,8120,0
PABLB,PAPCA,1,0
PABLB,PAPCN,1,0
PABLB,TWKHH,9019,0
PABLB,USLAX,2921,70
PABLB,USOAK,3276,440
PAMIT,KRPUS,8120,0
PAMIT,PAPCA,1,0
PAMIT,PAPCN,1,0
PAMIT,TWKHH,8988,0
PAMIT,USJAX,1505,224
PAMIT,USLAX,2951,70
PAMIT,USNYC,1948,380
PAMIT,USORF,1777,290
PAMIT,USSAV,1528,117
PAPCA,CAHAL,2298,282
PAPCA,CNNBO,8638,0
PAPCA,CNNGB,8638,0
PAPCA,CNSHA,8581,0
PAPCA,CNTAO,8632,0
PAPCA,CNYTN,9196,215
PAPCA,COCNR,227,0
PAPCA,COCTG,227,0
PAPCA,COSPC,227,0
PAPCA,DOCAU,835,0
PAPCA,GBSOU,4581,150
